FECHA,DEPARTAMENTO,MUNICIPIO,DIA ,HORA,BARRIO,ZONA,CLASE SITIO,EDAD,GENERO,CLASE BIEN,MARCA BIEN,LINEA,MODELO,COLOR,ARMA EMPLEADA,MOVIL AGRESOR,MOVIL VICTIMA,ESTADO CIVIL,PROFESIONES,ESCOLARIDAD,CODIGO DANE,2014
05/01/2014 12:00:00 AM,VALLE,CALI (CT),Domingo,21:00,MARROQUIN I E14,URBANA,VIAS PUBLICAS,36,MASCULINO,CAMIONETA,CHEVROLET,DNO REPORTADOMAX 2.4 4X2,2006,NEGRO,LLAVE MAESTRA,A PIE,A PIE,CASADO,NO REPORTADO,PRIMARIA,76001000,1
06/01/2014 12:00:00 AM,ANTIOQUIA,BARBOSA,Lunes,1:00,EL PORVENIR,URBANA,VIAS PUBLICAS,47,MASCULINO,AUTOMOVIL,RENAULT,R9,,VERDE OSCURO,LLAVE MAESTRA,A PIE,A PIE,CASADO,NO REPORTADO,SECUNDARIA,5079000,1
06/01/2014 12:00:00 AM,CAUCA,ROSAS,Lunes,10:23,SANTANDER,URBANA,FRENTE A RESIDENCIAS NO REPORTADO VIA PUBLICA,44,MASCULINO,CAMIONETA,MAZDA,ASTIN,,ROJO,LLAVE MAESTRA,A PIE,A PIE,UNION LIBRE,NO REPORTADO,SECUNDARIA,19622000,1
06/01/2014 12:00:00 AM,VALLE,CALI (CT),Lunes,5:00,REPUBLICA ISRAEL E16,URBANA,FRENTE A RESIDENCIAS NO REPORTADO VIA PUBLICA,33,MASCULINO,CAMIONETA,MAZDA,B2000,1993,ROJO,LLAVE MAESTRA,A PIE,A PIE,UNION LIBRE,NO REPORTADO,SUPERIOR,76001000,1
06/01/2014 12:00:00 AM,VALLE,CALI (CT),Lunes,18:00,LAS ACACIAS E10,URBANA,VIAS PUBLICAS,28,FEMENINO,AUTOMOVIL,MAZDA,2,2008,ROJO,ARMA DE FUEGO,A PIE,A PIE,SOLTERO,NO REPORTADO,TECNICO,76001000,1
07/01/2014 12:00:00 AM,VALLE,CALI (CT),Martes,4:20,CGTO LA BUITRERA E18,RURAL,FINCAS Y SIMILARES,46,MASCULINO,AUTOMOVIL,MAZDA,323,1986,ESTRATO DE PERLA,LLAVE MAESTRA,A PIE,A PIE,UNION LIBRE,NO REPORTADO,SECUNDARIA,76001000,1
07/01/2014 12:00:00 AM,VALLE,CALI (CT),Martes,12:45,PRADOS DEL NORTE E2,URBANA,VIAS PUBLICAS,51,MASCULINO,AUTOMOVIL,MAZDA,626 MEC,1999,GRIS,LLAVE MAESTRA,A PIE,A PIE,SOLTERO,NO REPORTADO,SUPERIOR,76001000,1
07/01/2014 12:00:00 AM,VALLE,CALI (CT),Martes,14:00,EL BOSQUE E2,URBANA,VIAS PUBLICAS,66,MASCULINO,AUTOMOVIL,CHEVROLET,AVEO 1.4,2007,GRIS,LLAVE MAESTRA,A PIE,A PIE,CASADO,NO REPORTADO,SUPERIOR,76001000,1
07/01/2014 12:00:00 AM,VALLE,CALI (CT),Martes,17:00,TORRES DE CONFANDI E5,URBANA,VIAS PUBLICAS,31,MASCULINO,AUTOMOVIL,MAZDA,626,1999,AZUL,LLAVE MAESTRA,A PIE,A PIE,UNION LIBRE,NO REPORTADO,SUPERIOR,76001000,1
09/01/2014 12:00:00 AM,ANTIOQUIA,BELLO,Jueves,13:45,CIUDADELA DEL NORTE,URBANA,VIAS PUBLICAS,52,MASCULINO,CAMION,CHEVROLET,NPR,2010,BLANCO,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,VEHICULO,UNION LIBRE,NO REPORTADO,SECUNDARIA,5088000,1
09/01/2014 12:00:00 AM,ANTIOQUIA,CALDAS,Jueves,21:40,VDA. MINAS,RURAL,CARRETERA,64,FEMENINO,CAMION,JAC,LINEA STANDARD,2008,BLANCO,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,VEHICULO,SOLTERO,NO REPORTADO,PRIMARIA,5129000,1
09/01/2014 12:00:00 AM,ANTIOQUIA,ITAGUI,Jueves,12:00,SANTA MARIA # 3,URBANA,VIAS PUBLICAS,41,MASCULINO,CAMION,CHEVROLET,NPR,2005,BLANCO,ARMA DE FUEGO,A PIE,VEHICULO,SOLTERO,NO REPORTADO,PRIMARIA,5360000,1
09/01/2014 12:00:00 AM,ANTIOQUIA,SAN VICENTE,Jueves,0:00,SAN ANTONIO,URBANA,VIAS PUBLICAS,36,MASCULINO,AUTOMOVIL,CHEVROLET,SPRINT,1997,BLANCO,LLAVE MAESTRA,A PIE,NO REPORTADO,CASADO,NO REPORTADO,SECUNDARIA,5674000,1
09/01/2014 12:00:00 AM,CESAR,VALLEDUPAR (CT),Jueves,13:00,VEREDA,RURAL,CARRETERA,44,MASCULINO,CAMION,FORD,F150,1995,BLANCO Y VERDE,ARMA DE FUEGO,A PIE,VEHICULO,UNION LIBRE,NO REPORTADO,SECUNDARIA,20001000,1
09/01/2014 12:00:00 AM,CESAR,VALLEDUPAR (CT),Jueves,17:45,OBRERO,URBANA,VIAS PUBLICAS,29,MASCULINO,AUTOMOVIL,CHEVROLET,OPTRA,2012,PLATEADO,LLAVE MAESTRA,A PIE,A PIE,UNION LIBRE,NO REPORTADO,SECUNDARIA,20001000,1
09/01/2014 12:00:00 AM,TOLIMA,VENADILLO,Jueves,22:30,CENTRO,RURAL,CARRETERA,43,MASCULINO,TRACTOMULA,KENWORTH,T600A,0,NEGRO GRAFITO,ARMA DE FUEGO,A PIE,VEHICULO,CASADO,NO REPORTADO,SECUNDARIA,73861000,1
09/01/2014 12:00:00 AM,VALLE,BUENAVENTURA,Jueves,0:00,CORREGIMIENTO ZARAGOZA,RURAL,VIAS PUBLICAS,23,MASCULINO,CAMION,CHEVROLET,NPR,2012,BLANCO,ARMA DE FUEGO,VEHICULO,VEHICULO,UNION LIBRE,NO REPORTADO,SECUNDARIA,76109000,1
09/01/2014 12:00:00 AM,VALLE,BUENAVENTURA,Jueves,21:00,AVENIDA PORTUARIA,URBANA,PARQUEADERO,30,MASCULINO,CAMION,INTERNACIONAL,5.2 V8,2008,VERDE,LLAVE MAESTRA,A PIE,A PIE,UNION LIBRE,NO REPORTADO,SECUNDARIA,76109000,1
09/01/2014 12:00:00 AM,VALLE,CALI (CT),Jueves,6:00,CHAPINERO,URBANA,VIAS PUBLICAS,40,MASCULINO,CAMIONETA,MAZDA,B2200,1992,BLANCO,LLAVE MAESTRA,A PIE,A PIE,UNION LIBRE,NO REPORTADO,SECUNDARIA,76001000,1
09/01/2014 12:00:00 AM,VALLE,CALI (CT),Jueves,7:30,CHIMINANGOS II E5,URBANA,PARQUEADERO,40,MASCULINO,AUTOMOVIL,HYUNDAI,I10,2011,AZUL,LLAVE MAESTRA,A PIE,A PIE,SOLTERO,NO REPORTADO,SUPERIOR,76001000,1
09/01/2014 12:00:00 AM,VALLE,CALI (CT),Jueves,8:10,CALDAS E18,URBANA,FRENTE A RESIDENCIAS NO REPORTADO VIA PUBLICA,33,MASCULINO,AUTOMOVIL,HYUNDAI,I10,2013,BLANCO,LLAVE MAESTRA,A PIE,A PIE,SOLTERO,NO REPORTADO,SUPERIOR,76001000,1
09/01/2014 12:00:00 AM,VALLE,CALI (CT),Jueves,8:30,TORRES DE CONFANDI E5,URBANA,VIAS PUBLICAS,39,MASCULINO,AUTOMOVIL,DAEWOO,LANOS,1998,VERDE OSCURO,ARMA DE FUEGO,A PIE,VEHICULO,SOLTERO,NO REPORTADO,SECUNDARIA,76001000,1
09/01/2014 12:00:00 AM,VALLE,CALI (CT),Jueves,23:15,LARES DE COMFENALCO E6,URBANA,VIAS PUBLICAS,52,MASCULINO,CAMIONETA,MAZDA,BTNO REPORTADO50 DOBLE CABINA 2500,2008,NO REPORTADO,LLAVE MAESTRA,A PIE,A PIE,CASADO,NO REPORTADO,SECUNDARIA,76001000,1
09/01/2014 12:00:00 AM,VALLE,GUADALAJARA DE BUGA,Jueves,18:45,EL ALBERGUE,URBANA,VIAS PUBLICAS,38,MASCULINO,AUTOMOVIL,RENAULT,R4,1986,BLANCO,CONTUNDENTES,VEHICULO,A PIE,UNION LIBRE,NO REPORTADO,SECUNDARIA,76111000,1
10/01/2014 12:00:00 AM,ANTIOQUIA,ITAGUI,Viernes,20:00,SANTA MARIA # 1,URBANA,VIAS PUBLICAS,57,FEMENINO,TAXI,CHEVROLET,SPARK,2005,AMARILLO,CONTUNDENTES,A PIE,A PIE,SOLTERO,NO REPORTADO,SECUNDARIA,5360000,1
10/01/2014 12:00:00 AM,ANTIOQUIA,LA ESTRELLA,Viernes,7:00,CAMILO TORRES,URBANA,FRENTE A RESIDENCIAS NO REPORTADO VIA PUBLICA,50,MASCULINO,AUTOMOVIL,SUZUKI,NO REPORTADO,1985,ROJO,LLAVE MAESTRA,A PIE,A PIE,SOLTERO,NO REPORTADO,PRIMARIA,5380000,1
10/01/2014 12:00:00 AM,HUILA,PITALITO,Viernes,0:00,LA PRADERA,URBANA,VIAS PUBLICAS,59,MASCULINO,CAMIONETA,MAZDA,LINEA STANDARD,1999,PLATEADO,CONTUNDENTES,A PIE,A PIE,CASADO,NO REPORTADO,PRIMARIA,41551000,1
10/01/2014 12:00:00 AM,RISARALDA,SANTA ROSA DE CABAL,Viernes,12:00,B. CENTRO,URBANA,VIAS PUBLICAS,50,MASCULINO,CAMIONETA,TOYOTA,LAND CRUSER,1992,VERDE,LLAVE MAESTRA,A PIE,VEHICULO,CASADO,NO REPORTADO,SECUNDARIA,66682000,1
10/01/2014 12:00:00 AM,VALLE,CALI (CT),Viernes,6:00,LOS LIBERTADORES E3,URBANA,VIAS PUBLICAS,52,FEMENINO,AUTOMOVIL,CHEVROLET,LUV 1.6,1986,ROJO,LLAVE MAESTRA,A PIE,A PIE,CASADO,NO REPORTADO,SUPERIOR,76001000,1
10/01/2014 12:00:00 AM,VALLE,CALI (CT),Viernes,10:00,SAN LUIS II E6,URBANA,BAHIA,38,MASCULINO,AUTOMOVIL,MAZDA,323,1991,ROJO,LLAVE MAESTRA,A PIE,A PIE,SOLTERO,NO REPORTADO,SECUNDARIA,76001000,1
10/01/2014 12:00:00 AM,VALLE,CALI (CT),Viernes,12:46,SAN VICENTE E2,URBANA,VIAS PUBLICAS,37,FEMENINO,AUTOMOVIL,CHEVROLET,SPRINT,1989,BLANCO,LLAVE MAESTRA,A PIE,A PIE,SOLTERO,NO REPORTADO,SECUNDARIA,76001000,1
10/01/2014 12:00:00 AM,VALLE,CARTAGO,Viernes,0:40,CGT.    ZARAGOZA,RURAL,CARRETERA,30,MASCULINO,CAMION,HINO,FC4J,2007,BLANCO,ARMA DE FUEGO,PASAJERO MOTOCICLETA,VEHICULO,UNION LIBRE,NO REPORTADO,SECUNDARIA,76147000,1
10/01/2014 12:00:00 AM,VALLE,YUMBO,Viernes,5:00,LLERAS E25,URBANA,VIAS PUBLICAS,66,MASCULINO,CAMIONETA,CHEVROLET,LUV 2.3,1998,BLANCO,LLAVE MAESTRA,A PIE,A PIE,CASADO,NO REPORTADO,SECUNDARIA,76892000,1
12/01/2014 12:00:00 AM,CUNDINAMARCA,SOACHA,Domingo,18:00,CENTRO,URBANA,VIAS PUBLICAS,26,MASCULINO,AUTOMOVIL,MAZDA,ALEGRO,0,ORO,CONTUNDENTES,A PIE,A PIE,UNION LIBRE,NO REPORTADO,SECUNDARIA,25754000,1
12/01/2014 12:00:00 AM,MAGDALENA,SANTA MARTA (CT),Domingo,10:30,RODADERO TRADICIONAL,URBANA,VIAS PUBLICAS,49,MASCULINO,AUTOMOVIL,CHEVROLET,NO REPORTADO,2001,ROJO,LLAVE MAESTRA,A PIE,A PIE,CASADO,INGENIERO DE SISTEMAS,SUPERIOR,47001000,1
12/01/2014 12:00:00 AM,VALLE,CALI (CT),Domingo,6:00,VILLA DEL SUR E11,URBANA,FRENTE A RESIDENCIAS NO REPORTADO VIA PUBLICA,32,MASCULINO,CAMIONETA,CHEVROLET,LUV 1.6,1992,AZUL,LLAVE MAESTRA,A PIE,A PIE,UNION LIBRE,NO REPORTADO,SECUNDARIA,76001000,1
12/01/2014 12:00:00 AM,VALLE,CALI (CT),Domingo,7:00,EL GUABAL E10,URBANA,VIAS PUBLICAS,24,MASCULINO,CAMIONETA,ISUZU,LINEA STANDARD,1992,NO REPORTADO,LLAVE MAESTRA,A PIE,A PIE,SOLTERO,NO REPORTADO,SUPERIOR,76001000,1
12/01/2014 12:00:00 AM,VALLE,CALI (CT),Domingo,19:00,EL LIDO E19,URBANA,VIAS PUBLICAS,73,MASCULINO,AUTOMOVIL,MITSUBISHI,MONTERO,1994,NO REPORTADO,LLAVE MAESTRA,A PIE,A PIE,SOLTERO,NO REPORTADO,SECUNDARIA,76001000,1
12/01/2014 12:00:00 AM,VALLE,CALI (CT),Domingo,20:30,TORRES DE CONFANDI E5,URBANA,VIAS PUBLICAS,46,FEMENINO,AUTOMOVIL,HYUNDAI,ACCENT,2006,PLATA NIQUEL,LLAVE MAESTRA,A PIE,A PIE,CASADO,NO REPORTADO,TECNICO,76001000,1
12/01/2014 12:00:00 AM,VALLE,CALI (CT),Domingo,23:30,LAS DELICIAS E4,URBANA,VIAS PUBLICAS,32,FEMENINO,AUTOMOVIL,CHEVROLET,ESTEEM,2003,GRIS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,VEHICULO,UNION LIBRE,NO REPORTADO,TECNICO,76001000,1
12/01/2014 12:00:00 AM,VALLE,ZARZAL,Domingo,4:00,COLOMBINA,URBANA,PARQUEADERO,29,MASCULINO,TRACTO_CAMION,CHEVROLET,LINEA STANDARD,0,VINOTINTO,LLAVE MAESTRA,VEHICULO,VEHICULO,UNION LIBRE,NO REPORTADO,SECUNDARIA,76895000,1
,ARAUCA,TAME,Lunes,14:00,VEREDA SANTO DOMINGO,RURAL,CARRETERA,56,MASCULINO,CAMIONETA,CHEVROLET,LUV 2.0,2004,BLANCO,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,VEHICULO,VIUDO,TECNICO EN SISTEMAS,TECNICO,81794000,1
,VALLE,CALI (CT),Jueves,19:20,LILI E17,URBANA,BAHIA,39,MASCULINO,CAMIONETA,CHEVROLET,LUV 1.6,1998,BLANCO,LLAVE MAESTRA,A PIE,A PIE,CASADO,NO REPORTADO,SUPERIOR,76001000,1
,META,PUERTO LLERAS,Lunes,19:00,VEREDA LA TIGRERA,RURAL,FINCAS Y SIMILARES,25,MASCULINO,TRACTOR,KUBOTA,NO REPORTADO,,NARANJA,ARMA DE FUEGO,A PIE,A PIE,SOLTERO,NO REPORTADO,PRIMARIA,50577000,1
,VALLE,CALI (CT),Lunes,11:45,VILLA DEL PRADO E5,URBANA,VIAS PUBLICAS,38,MASCULINO,AUTOMOVIL,RENAULT,R9,1990,AZUL,LLAVE MAESTRA,A PIE,A PIE,SOLTERO,NO REPORTADO,SECUNDARIA,76001000,1
,ANTIOQUIA,ANDES,Martes,23:30,SAN PEDRO,URBANA,VIAS PUBLICAS,44,MASCULINO,AUTOMOVIL,CHANGHE,IDEAL 1.1,2008,AMARILLO,LLAVE MAESTRA,A PIE,NO REPORTADO,CASADO,NO REPORTADO,PRIMARIA,5034000,1
,ANTIOQUIA,BELLO,Martes,8:00,LAS GRANJAS,URBANA,VIAS PUBLICAS,36,MASCULINO,CAMION,CHEVROLET,NPR,2007,BLANCO,ARMA DE FUEGO,A PIE,VEHICULO,SOLTERO,NO REPORTADO,SECUNDARIA,5088000,1
,ANTIOQUIA,BELLO,Martes,17:40,SAN JOSE OBRERO,URBANA,VIAS PUBLICAS,41,MASCULINO,CAMIONETA,TOYOTA,HILUX,2011,GRIS,ARMA DE FUEGO,A PIE,VEHICULO,UNION LIBRE,NO REPORTADO,SECUNDARIA,5088000,1
,ANTIOQUIA,ITAGUI,Martes,10:30,CENTRAL MAYORISTA,URBANA,VIAS PUBLICAS,46,MASCULINO,CAMIONETA,TOYOTA,BURBUJA,1998,AZUL BAHIA,LLAVE MAESTRA,A PIE,A PIE,SOLTERO,NO REPORTADO,TECNICO,5360000,1
,CAUCA,EL TAMBO,Martes,8:30,VEREDA RIO HONDO,RURAL,CARRETERA,34,MASCULINO,FURGON,CHEVROLET,LUV 2.3,1993,BLANCO,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,VEHICULO,UNION LIBRE,NO REPORTADO,SECUNDARIA,19256000,1
,VALLE,CALI (CT),Martes,4:00,ALTO NAPOLES E18,URBANA,FRENTE A RESIDENCIAS NO REPORTADO VIA PUBLICA,54,MASCULINO,AUTOMOVIL,CHEVROLET,CHEVETTE,1991,ROJO,LLAVE MAESTRA,A PIE,A PIE,CASADO,NO REPORTADO,PRIMARIA,76001000,1
,VALLE,CALI (CT),Martes,9:15,SAN VICENTE E2,URBANA,CLINICAS Y SIMILARES,77,MASCULINO,AUTOMOVIL,CHEVROLET,SPRINT,1992,AZUL,LLAVE MAESTRA,A PIE,A PIE,CASADO,NO REPORTADO,SECUNDARIA,76001000,1
,VALLE,CALI (CT),Martes,11:00,TORRES DE CONFANDI E5,URBANA,VIAS PUBLICAS,24,MASCULINO,AUTOMOVIL,HYUNDAI,SANTRO 1.0,2008,NO REPORTADO,LLAVE MAESTRA,A PIE,A PIE,SOLTERO,NO REPORTADO,SECUNDARIA,76001000,1
,VALLE,CALI (CT),Martes,13:00,CGTO LA REFORMA E19-9,RURAL,DENTRO DE LA VIVIENDA,64,MASCULINO,AUTOMOVIL,HYUNDAI,ACCENT,1994,GRIS,ARMA DE FUEGO,A PIE,A PIE,CASADO,NO REPORTADO,SUPERIOR,76001000,1
,VALLE,CALI (CT),Martes,13:00,CGTO LA REFORMA E19-9,RURAL,DENTRO DE LA VIVIENDA,64,MASCULINO,AUTOMOVIL,RENAULT,SANDERO,2010,GRIS,ARMA DE FUEGO,A PIE,A PIE,CASADO,NO REPORTADO,SUPERIOR,76001000,1
,VALLE,CALI (CT),Martes,13:05,VILLA DEL PRADO E5,URBANA,FRENTE A RESIDENCIAS NO REPORTADO VIA PUBLICA,29,FEMENINO,AUTOMOVIL,CHEVROLET,SPRINT,1993,NEGRO,LLAVE MAESTRA,A PIE,A PIE,UNION LIBRE,NO REPORTADO,SUPERIOR,76001000,1
,META,SAN JUAN DE ARAMA,Jueves,11:30,VEREDA LA URIA,RURAL,FINCAS Y SIMILARES,31,MASCULINO,CAMIONETA,TOYOTA,HILUX,2013,BLANCO,ARMA DE FUEGO,A PIE,VEHICULO,UNION LIBRE,NO REPORTADO,PRIMARIA,50683000,1
,TOLIMA,COYAIMA,Jueves,15:00,VRDA. JABONERAS,RURAL,VIAS PUBLICAS,43,MASCULINO,CAMIONETA,CHEVROLET,LUV 2.2,1984,AZUL,LLAVE MAESTRA,A PIE,VEHICULO,SOLTERO,NO REPORTADO,PRIMARIA,73217000,1
,VALLE,CALI (CT),Jueves,6:15,CHIMINANGOS I E5,URBANA,VIAS PUBLICAS,36,FEMENINO,CAMIONETA,FORD,LASER,2005,PLATA,LLAVE MAESTRA,A PIE,A PIE,CASADO,NO REPORTADO,TECNICO,76001000,1
,VALLE,CALI (CT),Jueves,8:00,BAJOS CIUDAD CORDOBA  E15,URBANA,VIAS PUBLICAS,34,MASCULINO,AUTOMOVIL,KIA,PICANTO,2014,PLATA,LLAVE MAESTRA,A PIE,A PIE,CASADO,NO REPORTADO,SECUNDARIA,76001000,1
,VALLE,CALI (CT),Jueves,10:00,VILLA DEL PRADO E5,URBANA,VIAS PUBLICAS,24,MASCULINO,AUTOMOVIL,CHEVROLET,AVEO 1.4,2007,BLANCO,LLAVE MAESTRA,A PIE,A PIE,SOLTERO,NO REPORTADO,SUPERIOR,76001000,1
,VALLE,CALI (CT),Jueves,12:00,SALOMIA E4,URBANA,VIAS PUBLICAS,30,FEMENINO,AUTOMOVIL,KIA,RIO,2013,NEGRO,LLAVE MAESTRA,A PIE,A PIE,UNION LIBRE,NO REPORTADO,SUPERIOR,76001000,1
,VALLE,CALI (CT),Jueves,14:00,EUCARISTICO E19,URBANA,VIAS PUBLICAS,49,FEMENINO,CAMIONETA,TOYOTA,PRADO,2013,VERDE,ARMA DE FUEGO,PASAJERO MOTOCICLETA,VEHICULO,SOLTERO,NO REPORTADO,TECNICO,76001000,1
,VALLE,CALI (CT),Jueves,16:00,TEQUENDAMA E19,URBANA,FRENTE CLINICA U HOSPITAL NO REPORTADO VIA PUBLICA,46,FEMENINO,AUTOMOVIL,HYUNDAI,ATOS,2006,PLATINO,ARMA DE FUEGO,A PIE,A PIE,CASADO,NO REPORTADO,SUPERIOR,76001000,1
,ANTIOQUIA,EL CARMEN DE VIBORAL,Viernes,16:00,OSPINA,URBANA,PARQUEADERO,49,MASCULINO,AUTOMOVIL,CHEVROLET,SPARK,2009,AMARILLO,LLAVE MAESTRA,A PIE,NO REPORTADO,CASADO,NO REPORTADO,SECUNDARIA,5148000,1
,ANTIOQUIA,ITAGUI,Viernes,7:30,SANTA MARIA # 3,URBANA,VIAS PUBLICAS,77,MASCULINO,AUTOMOVIL,MAZDA,323,1997,VERDE,LLAVE MAESTRA,A PIE,A PIE,UNION LIBRE,NO REPORTADO,PRIMARIA,5360000,1
,GUAJIRA,RIOHACHA (CT),Viernes,15:00,LAS VILLAS,URBANA,VIAS PUBLICAS,40,FEMENINO,CAMPERO,MITSUBISHI,NO REPORTADO,2002,NO REPORTADO,LLAVE MAESTRA,A PIE,VEHICULO,CASADO,NO REPORTADO,SECUNDARIA,44001000,1
,NORTE DE SANTANDER,EL TARRA,Viernes,9:00,CORREGIMIENTO FILO GRINGO,RURAL,VIAS PUBLICAS,37,MASCULINO,CAMION,INTERNACIONAL,LINEA STANDARD,1981,ROJO NO REPORTADO BLANCO,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,VEHICULO,UNION LIBRE,NO REPORTADO,SECUNDARIA,54250000,1
,NORTE DE SANTANDER,TEORAMA,Viernes,4:00,CORREGIMIENTO SAN PABLO,RURAL,VIAS PUBLICAS,31,MASCULINO,CAMION,DODGE,600,1977,TURQUEZA,ARMA DE FUEGO,PASAJERO MOTOCICLETA,VEHICULO,SOLTERO,NO REPORTADO,SECUNDARIA,54800000,1
,VALLE,CALI (CT),Viernes,5:10,BRISAS DE LOS ALAMOS E2,URBANA,VIAS PUBLICAS,41,FEMENINO,AUTOMOVIL,HYUNDAI,GETZ,2005,ROJO,LLAVE MAESTRA,A PIE,A PIE,UNION LIBRE,NO REPORTADO,SUPERIOR,76001000,1
,VALLE,CALI (CT),Viernes,20:05,LA HACIENDA E17,URBANA,VIAS PUBLICAS,61,FEMENINO,CAMPERO,MITSUBISHI,MONTERO,1995,ROJO,LLAVE MAESTRA,A PIE,A PIE,SOLTERO,NO REPORTADO,TECNICO,76001000,1
,VALLE,CALI (CT),Viernes,20:30,COLSEGUROS ANDES E10,URBANA,BAHIA,37,FEMENINO,AUTOMOVIL,KIA,PICANTO,2009,PLATINO,LLAVE MAESTRA,A PIE,A PIE,UNION LIBRE,NO REPORTADO,SUPERIOR,76001000,1
,VALLE,CALI (CT),Viernes,23:00,SAN ANTONIO E3,URBANA,VIAS PUBLICAS,23,FEMENINO,AUTOMOVIL,KIA,PICANTO,2010,GRIS,LLAVE MAESTRA,A PIE,A PIE,SOLTERO,NO REPORTADO,SECUNDARIA,76001000,1
,VALLE,CARTAGO,Viernes,2:00,PRADO,URBANA,VIAS PUBLICAS,60,MASCULINO,CAMIONETA,TOYOTA,LAND CRUSER,1995,BLANCO,LLAVE MAESTRA,A PIE,A PIE,CASADO,NO REPORTADO,SECUNDARIA,76147000,1
,ANTIOQUIA,RIONEGRO,Domingo,20:00,LA MOSQUITA,RURAL,FINCAS Y SIMILARES,58,FEMENINO,AUTOMOVIL,NO REPORTADO,NO REPORTADO,2011,NO REPORTADO,ARMA DE FUEGO,A PIE,A PIE,CASADO,PSICOLOGO,SUPERIOR,5615000,1
,GUAJIRA,SAN JUAN DEL CESAR,Domingo,19:00,VEREDA EL POTRERITO,RURAL,TROCHA,26,MASCULINO,AUTOMOVIL,KIA,RIO,2007,PLATEADO,ARMA DE FUEGO,VEHICULO,VEHICULO,SOLTERO,NO REPORTADO,SECUNDARIA,44650000,1
